Título,Total,total deflactado,Sector privado no financiero,sector privado no financiero deflactado,Sector financiero no bancario,sector financiero no bancario deflactado,Sector público,sector público deflactado,Otros sectores,otros sectores deflactados,Sector externo,sector externo deflactado,Crédito a banca comercial,crédito a banca comercial deflactado,INPC mensual
May 2008,"1,814,594.5","2,758,789.7","1,459,201.5","2,218,473.6","145,625.0","221,398.6","134,037.1","203,781.2","43,888.6","66,725.3","31,842.2","48,410.8","1,862.7","2,831.9",66.09863507
Jun 2008,"1,818,978.0","2,754,057.0","1,464,423.5","2,217,237.3","145,246.5","219,913.1","136,592.0","206,809.6","38,020.5","57,565.6","34,695.4","52,531.2","2,176.8","3,295.8",66.3721681
Jul 2008,"1,833,833.6","2,761,161.5","1,478,073.5","2,225,501.6","145,529.2","219,120.0","139,103.5","209,445.0","31,536.9","47,484.4","39,590.5","59,610.5","2,005.9","3,020.2",66.74205936
Ago 2008,"1,859,324.2","2,783,467.7","1,499,712.3","2,245,117.2","147,601.8","220,964.6","142,238.7","212,935.9","31,636.9","47,361.4","38,134.4","57,088.4","1,679.5","2,514.3",67.12749227
Sep 2008,"1,863,223.3","2,770,425.6","1,460,998.0","2,172,357.1","190,637.2","283,458.3","141,161.2","209,892.5","30,874.4","45,907.1","39,552.6","58,810.7","1,839.9","2,735.7",67.58493481
Oct 2008,"1,907,632.3","2,817,259.4","1,517,205.3","2,240,662.9","186,144.6","274,905.0","147,186.5","217,370.3","22,322.3","32,966.4","34,773.6","51,354.9","2,166.3","3,199.3",68.04548569
Nov 2008,"1,921,453.1","2,805,777.9","1,538,926.0","2,247,197.5","181,311.3","264,757.6","142,010.8","207,369.5","22,401.6","32,711.7","36,803.4","53,741.7","1,993.6","2,911.1",68.81894178
Dic 2008,"1,883,580.7","2,731,557.6","1,522,956.4","2,208,582.4","167,375.2","242,726.5","132,990.3","192,861.7","20,824.1","30,199.0","39,434.7","57,188.0","1,715.9","2,488.4",69.29555236
Ene 2009,"1,902,817.0","2,753,073.5","1,547,746.6","2,239,343.1","162,411.3","234,983.3","135,501.5","196,049.1","20,880.0","30,210.0","36,277.6","52,487.9","1,430.1","2,069.1",69.45614941
Feb 2009,"1,903,142.0","2,747,477.9","1,549,619.9","2,237,114.4","159,662.5","230,497.4","136,781.8","197,465.5","20,943.9","30,235.7","36,133.9","52,164.8","1,605.6","2,317.9",69.60949368
