time,value,group,percentage
01/03/2007,2663,F,0.001850675
01/04/2007,1215466.2,A,0.830015818
01/04/2007,64267.7,B,0.043887035
01/04/2007,101177.5,C,0.069091946
01/04/2007,68752.6,D,0.046949677
01/04/2007,14725.2,E,0.010055523
01/04/2007,2763.1,F,0.001886862
01/05/2007,1238584.4,A,0.834047843
01/05/2007,64376.9,B,0.04335063
01/05/2007,98562.6,C,0.06637087
01/05/2007,68601.7,D,0.04619556
01/05/2007,14902.4,E,0.010035097
01/05/2007,2115,F,0.001424216
01/06/2007,1274042.2,A,0.836013343
01/06/2007,65508.4,B,0.042985936
01/06/2007,101255.2,C,0.066442617
01/06/2007,68659.9,D,0.045053918
01/06/2007,14483.9,E,0.009504186
01/06/2007,2371.1,F,0.001555891
01/07/2007,1297758.9,A,0.836663945
01/07/2007,59791,B,0.038547202
01/07/2007,102719.2,C,0.066222972
01/07/2007,68750.2,D,0.044323189
01/07/2007,22092,E,0.014242692
01/07/2007,1926,F,0.00124169
01/08/2007,1341780.4,A,0.839035939
01/08/2007,67913.8,B,0.042467545
01/08/2007,100838.4,C,0.063055804
01/08/2007,68654.4,D,0.042930653
01/08/2007,20006,E,0.01251006
01/08/2007,1998.4,F,0.00124963
01/09/2007,1377411.6,A,0.845154972
01/09/2007,68500,B,0.042030367
01/09/2007,96246.9,C,0.059055366
01/09/2007,68629.1,D,0.042109581
01/09/2007,18986.4,E,0.011649713
01/09/2007,1364.2,F,0.000837049
01/10/2007,1415103.5,A,0.846247936
01/10/2007,69179,B,0.041369826
01/10/2007,97073.4,C,0.058050994
01/10/2007,68686.7,D,0.041075425
01/10/2007,22166.5,E,0.013255818
01/10/2007,1137.2,F,0.000680058
01/11/2007,1446137.7,A,0.848889613
01/11/2007,69538.7,B,0.040819543
01/11/2007,97343.9,C,0.057141326
01/11/2007,65830.5,D,0.038642812
01/11/2007,24713.1,E,0.014506706
01/11/2007,1141.4,F,0.000670007
01/12/2007,1459259.4,A,0.849635438
01/12/2007,72908.9,B,0.04245029
01/12/2007,105799.8,C,0.061600603
01/12/2007,62564.9,D,0.036427626
01/12/2007,16979.4,E,0.009886042
